task_idx,instance_id,pattern_A_Ap_B,A_correct,A_finished,A_stop,A_compactions,A_branches,A_gen_tokens,A_dup_searches,A_searches,A_main_turns,A_peak_ctx,Ap_correct,Ap_finished,Ap_stop,Ap_compactions,Ap_branches,Ap_gen_tokens,Ap_dup_searches,Ap_searches,Ap_main_turns,Ap_peak_ctx,B_correct,B_finished,B_stop,B_compactions,B_branches,B_gen_tokens,B_dup_searches,B_searches,B_main_turns,B_peak_ctx,question_head
0,787,000,0,0,llm_none,0,1,4874,0,5,6,44009,0,0,llm_none,0,0,2984,0,3,5,52659,0,0,budget_exhausted,3,0,5225,6,14,8,33756,Give me the full birth name of the artiste based on the following hints :   1. T
1,801,001,0,1,finish,0,1,2770,0,3,5,20728,0,0,llm_none,0,0,2149,1,6,12,40128,1,1,finish,3,0,5002,2,9,4,34757,An actress who studied musical theatre and graduated in 2002 was cast in a soap 
2,810,100,1,1,finish,0,2,2642,7,14,3,37405,0,0,llm_none,0,0,2249,3,6,11,42709,0,0,budget_exhausted,3,0,5512,6,9,5,34545,A student of architecture who was born in the 19th Century but died in the 20th 
3,815,100,1,1,finish,0,4,3497,3,9,5,35086,0,0,llm_none,0,0,1288,1,4,8,47142,0,0,budget_exhausted,3,0,3808,1,10,7,32512,I am looking for the title of a book first published in 1898 by an author born i
4,833,000,0,1,finish,0,6,8484,8,16,7,36246,0,0,llm_none,0,0,6032,1,3,7,42858,0,0,budget_exhausted,3,0,7859,7,13,8,36494,The information below is about an individual who - is an alumnus of a university
5,836,000,0,0,llm_none,0,0,4290,0,4,6,43435,0,0,llm_none,0,0,4579,0,2,9,38504,0,0,budget_exhausted,3,0,9666,2,5,4,35519,What's the full name of the person who played the role of a Nurse in a series th
6,843,001,0,1,finish,0,3,2981,5,12,4,36574,0,0,llm_none,0,0,2952,0,6,10,39664,1,1,finish,3,0,5105,2,6,7,36278,A pack of downloadable content was released for a strategy video game over three
7,863,111,1,1,finish,0,1,1689,0,5,2,29260,1,1,finish,0,0,1664,0,1,3,14766,1,1,finish,3,0,4860,6,12,16,35902,"She holds an MBA and a Master’s degree, and as of 2023, she was a PhD candidate "
8,875,000,0,1,finish,0,8,6941,10,22,9,37738,0,0,llm_none,0,0,2682,1,5,6,47176,0,0,budget_exhausted,3,0,6754,1,5,5,33688,"Two individuals from different industries share the same first name and surname,"
9,223,000,0,1,finish,0,6,5723,7,17,7,37378,0,0,llm_none,0,0,3372,2,5,6,38302,0,0,budget_exhausted,3,0,7584,6,15,6,34240,"There is an author who as of 2023 was interested in gaming, had battled mental h"
10,226,000,0,1,finish,0,3,4592,2,7,6,36349,0,0,llm_none,0,0,1737,1,6,10,39075,0,0,budget_exhausted,3,0,4127,4,7,5,32709,"As of December 2023, can you name the historical European landmark unveiled in t"
11,235,100,1,1,finish,0,0,3309,0,2,5,24878,0,0,llm_none,0,0,1721,0,4,5,39430,0,0,budget_exhausted,3,0,2648,4,6,4,35198,As of 2023 there is an individual who had previously held the same cabinet-level
12,238,000,0,1,finish,0,4,6283,2,9,9,36977,0,0,llm_none,0,0,1985,0,4,4,41334,0,0,budget_exhausted,3,0,7212,5,11,6,35692,I'm looking for a character that appears in a game made before the release of th
13,240,000,0,1,finish,0,1,4469,0,3,3,24313,0,0,llm_none,0,0,3654,4,7,8,43469,0,1,finish,1,0,2977,0,4,9,32582,This individual interviewed one of the greatest athletes in history between 1960
14,244,000,0,1,finish,0,3,3933,5,12,4,36168,0,0,llm_none,0,0,2330,0,4,6,38178,0,0,budget_exhausted,3,0,5442,4,9,4,34251,"On April 5, 2022, a post with the title phrased as a question and mentioning the"
15,246,101,1,1,finish,0,1,2030,2,5,4,37014,0,0,llm_none,0,0,1292,0,3,3,56924,1,1,finish,0,0,1725,0,1,4,16404,I'm looking for the name of a 19th-century magazine that had fewer than eight pu
16,249,000,0,0,llm_none,0,0,2323,1,6,7,42311,0,0,llm_none,0,0,2728,0,4,6,42933,0,0,budget_exhausted,3,0,7801,3,7,4,35970,An article detailing the history of a theatre that opened in 1930 was published 
17,254,000,0,1,finish,0,0,4977,0,3,5,24423,0,0,llm_none,0,0,5756,2,4,6,46138,0,0,budget_exhausted,3,0,9002,1,6,5,33545,"What is the name of the band and their third full-length album, which was releas"
18,980,000,0,1,finish,0,2,4085,2,7,3,37214,0,0,llm_none,0,0,853,1,4,8,45426,0,0,budget_exhausted,3,0,6306,2,6,4,32892,Can you tell me the name of a movie which was released in year 2000's. The movie
19,983,000,0,1,finish,0,6,7152,7,22,7,35629,0,0,llm_none,0,0,2043,1,4,6,40956,0,0,budget_exhausted,3,0,7126,4,7,5,34832,Three people wrote an article published between 2020 and 2023 listing 5 lessons 
20,1002,000,0,1,finish,0,1,4385,0,4,7,34692,0,0,llm_none,0,0,2624,2,4,6,46474,0,0,budget_exhausted,3,0,4746,5,11,6,34303,"There’s a man who used to work at a famous broadcasting network, before quitting"
21,1015,000,0,1,finish,0,2,1946,0,5,3,22676,0,0,llm_none,0,0,1206,1,4,8,43821,0,0,budget_exhausted,3,0,5390,4,6,5,34238,"As of December 2022, I am looking for the name of a museum that is named after t"
22,1016,010,0,0,llm_none,0,0,3211,0,6,7,38697,1,1,finish,0,0,5087,0,2,5,32395,0,0,budget_exhausted,3,0,9728,1,13,7,35940,Identify a rare or uncommon fungi that typically appears in clusters after rainf
23,1025,111,1,1,finish,0,2,2004,1,5,3,29711,1,1,finish,0,0,928,0,2,5,22998,1,1,finish,1,0,4747,0,3,3,33011,There is a science-fiction novel that was published in 2010. It was praised in a
24,1028,000,0,1,finish,0,6,6614,9,21,7,36937,0,0,llm_none,0,0,4804,1,3,5,94891,0,0,budget_exhausted,3,0,6603,1,6,5,33801,Person A was born into a family of merchants in the 1900s and graduated from uni
25,1036,000,0,1,finish,0,2,3146,3,6,5,35080,0,0,llm_none,0,0,698,3,5,10,42311,0,0,budget_exhausted,3,0,5759,6,10,7,33568,"In an interview, this individual revealed that their love for music was because "
26,1046,000,0,1,finish,0,1,4393,0,3,3,33459,0,0,llm_none,0,0,2491,1,3,6,39006,0,0,budget_exhausted,3,0,8465,4,12,2,34364,"A specific company was founded in a specific year between 1990 and 2010, both en"
27,1048,100,1,1,finish,0,3,3586,6,16,4,36375,0,0,llm_none,0,0,2460,1,3,9,39497,0,0,budget_exhausted,3,0,4684,1,8,5,32701,Give me the name of the scholar and associate professor that is affiliated with 
28,1052,000,0,1,finish,0,5,9479,3,12,8,36587,0,0,no_call_loop,0,0,6144,0,0,3,11322,0,0,no_call_loop,0,0,6144,0,0,3,11322,"A film critic, who reviewed movies for over 40 years until their death, publishe"
29,1055,000,0,1,finish,0,1,5421,1,3,4,36643,0,0,llm_none,0,0,3608,0,5,3,46504,0,1,finish,1,0,6206,0,8,3,34422,A short story featuring small forest creatures was written by an author who live
30,1057,000,0,0,llm_none,0,0,853,3,8,9,40757,0,0,llm_none,0,0,2284,0,5,7,42909,0,0,budget_exhausted,3,0,5853,3,12,4,35710,"In a botany blog post in 2020, an amateur botanist explains the use of creating "
31,1061,000,0,1,finish,0,1,3796,0,4,5,23954,0,0,llm_none,0,0,4160,1,5,8,38939,0,0,budget_exhausted,3,0,6959,8,12,7,35305,"In late 2020, a series of articles were published on a digital news platform tha"
32,10,101,1,1,finish,0,1,1410,0,1,3,15195,0,0,llm_none,0,0,1671,1,4,8,47989,1,1,finish,1,0,3048,0,3,2,31528,The following details describe an individual:  An African artist Began their car
33,478,101,1,1,finish,0,2,2352,4,8,3,37350,0,1,finish,0,0,1782,0,3,6,21591,1,1,finish,3,0,4573,10,15,12,35990,"On the Blantyre Telegraph, there's an article published between 2018 and 2020, i"
34,495,100,1,1,finish,0,1,1469,0,2,2,21206,0,0,llm_none,0,0,2434,2,6,10,39424,0,0,budget_exhausted,3,0,3619,5,7,5,34093,"According to a 2021 article, a certain individual expressed their love for poetr"
35,500,110,1,1,finish,0,1,5931,0,1,5,18556,1,1,finish,0,0,2280,0,1,3,18799,0,1,finish,2,0,3831,3,7,8,35049,Identify the English name of structure originally constructed during the 16th ce
36,506,111,1,1,finish,0,1,2361,0,2,6,19895,1,1,finish,0,0,2550,0,3,5,22381,1,1,finish,2,0,5236,1,6,9,31317,"What is the name of this short film:  1. As of 2022, Its director is also an arc"
37,507,000,0,1,finish,0,3,5022,3,9,7,37402,0,0,llm_none,0,0,1683,4,9,3,46789,0,0,budget_exhausted,3,0,6050,6,13,10,35024,"As of December 2023, name the band formed between 1960 and 1980, by a musician w"
38,513,000,0,0,llm_none,0,0,5017,2,4,6,43063,0,0,llm_none,0,0,6460,1,3,7,37967,0,0,budget_exhausted,3,0,7733,5,6,6,32332,"There are two different blog posts, both written between 2015 and December 31, 2"
39,517,000,0,1,finish,0,7,9474,1,7,10,36781,0,0,llm_none,0,0,4304,1,3,6,38116,0,0,budget_exhausted,3,0,9377,2,7,5,36045,"Hey Chat, I'm trying to remember someone's popular name. This person was born so"
